"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"26","Drug_26","Brand_26","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"27","Drug_27","Brand_27","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"28","Drug_28","Brand_28","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"29","Drug_29","Brand_29","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"30","Drug_30","Brand_30","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"31","Drug_31","Brand_31","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"32","Drug_32","Brand_32","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"33","Drug_33","Brand_33","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"34","Drug_34","Brand_34","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"35","Drug_35","Brand_35","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
